?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHR_9940chr2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2 (sheep)"	
<http://purl.obolibrary.org/obo/CHR_10116chr7q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q2 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr13qC1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13qC1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr19qD3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19qD3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9796chr12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12 (horse)"	
<http://purl.obolibrary.org/obo/CHR_10090chrXqA1.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXqA1.2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22p12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q22.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q22.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q13.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q13.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p21.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p21.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr13p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13p12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q23.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q23.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr3p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q15>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q15 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr10q24>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q24 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr16p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16p (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9913chr28>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr28 (cow)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5p13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5p13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr20q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20q11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr14qE2.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14qE2.1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q12.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q12.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p31.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p31.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q32.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q32.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8p11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8p11.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19q13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19q13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qG2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qG2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11q23.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q23.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q24.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q24.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9913chr23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr23 (cow)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q35>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q35 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXq11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq11.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr16qA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16qA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20p11.23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20p11.23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qA5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qA5 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q33.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q33.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9031chr15>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15 (chicken)"	
<http://purl.obolibrary.org/obo/CHR_10090chr3qG1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3qG1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr18qD2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18qD2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q22.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q22.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q51>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q51 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr9q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q22 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p14.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p14.3 (Human)"	
<http://purl.obolibrary.org/obo/NCBITaxon_9031>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gallus gallus"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q12.12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q12.12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q21.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q21.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10p12.31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10p12.31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_7955chr9>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9 (Zebrafish)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p11.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr6q33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q33 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_7955chr25>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr25 (Zebrafish)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p24.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p24.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr7qD2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7qD2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9940chr23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr23 (sheep)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXp11.21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXp11.21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9031chr10>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10 (chicken)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q24.21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q24.21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr6qA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6qA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr18qE3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18qE3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q26.33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q26.33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q31.21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q31.21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_7955chr4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4 (Zebrafish)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q25.32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q25.32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr16qC1.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16qC1.1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p14 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr18q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q21.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q21.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_7955chr20>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20 (Zebrafish)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qC5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qC5 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q31.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q31.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9796chr7>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7 (horse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q14.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q14.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9913chrM>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrM (cow)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19p12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qC2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qC2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXq28>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq28 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19p13.12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19p13.12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12qF>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12qF (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q25.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q25.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr8q21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q21 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9796chr2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2 (horse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q31.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q31.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22p (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qB>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qB (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q13.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q13.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr13qB2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13qB2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qC4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qC4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chrXq11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qA1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qA1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr6qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr17qA3.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17qA3.1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXp21.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXp21.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q23.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q23.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chrYq>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYq (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q21.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q21.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qB1.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qB1.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q21.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q21.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q14.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q14.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p21.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p21.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q21.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q21.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qG1.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qG1.2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9913chr19>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19 (cow)"	
<http://purl.obolibrary.org/obo/CHR_10116chr16p16>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16p16 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qE2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qE2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q22.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q22.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q21.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q21.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr19q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19q11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chrY>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrY (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q36.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q36.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1p13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p13 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q13.11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q13.11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p34.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p34.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr7q36>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q36 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9913chr14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14 (cow)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q21.11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q21.11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q25>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q25 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8p11.22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8p11.22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q34>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q34 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chrY>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrY (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9940chr19>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19 (sheep)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qD>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qD (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19p13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19p13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9823chr16>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16 (pig)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q24.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q24.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9913chr9>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9 (cow)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12qD1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12qD1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr9q13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q13 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr13qB3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13qB3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9031chr6>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6 (chicken)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16p11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16p11.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qB3.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qB3.2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qG3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qG3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_7955chr16>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16 (Zebrafish)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q36.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q36.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9940chr14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14 (sheep)"	
<http://purl.obolibrary.org/obo/CHR_9823chr11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11 (pig)"	
<http://purl.obolibrary.org/obo/CHR_9823chr7>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7 (pig)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q42.11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q42.11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9913chr4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4 (cow)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11p11.11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11p11.11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q21.12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q21.12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q34.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q34.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q14.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q14.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9031chr1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1 (chicken)"	
<http://purl.obolibrary.org/obo/CHR_10116chr4q32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q32 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22q13.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22q13.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15p11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15p11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr19p14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19p14 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_7955chr11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11 (Zebrafish)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q22.31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q22.31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q22.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q22.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q23.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q23.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9823chr2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2 (pig)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q21 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q25.33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q25.33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q31.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q31.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p22.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p22.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr15qA2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15qA2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11q23.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q23.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chrXqF4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXqF4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qC4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qC4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr8q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11q14.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q14.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q34.11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q34.11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9796chr31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr31 (horse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q33.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q33.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr14qD3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14qD3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr5q23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q23 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q21.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q21.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p25.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p25.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q21.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q21.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q23.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q23.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q34>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q34 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qE4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qE4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4p15.33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4p15.33 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11q25>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q25 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12p12.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12p12.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p21.31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p21.31 (Human)"	
